FILE				AUTHOR		NAME						STATUS
mirrealm.are		Aegis		Ancient Greece				Incoming
hclock.are			Aegis		Haunted Clock Tower			Incoming
grave.are			Alfa		*Graveyard					Running			
grove.are			Alfa		*Holy Grove					Running
moria.are			Alfa		*Moria						Rejected
ofcol.are			Alfa		*Ofcol						Rejected
warzone.are			Ambrix		The War Zone				Rejected
astral.are			Andersen	*Astral/Githyanki			Rejected
pyramid.are			Andersen	*The Great Pyramid			Rejected
abyss2.are			Anon		The Abyss					Rejected
dragon2.are			Anon		DragonSpyre					Rejected
dwarven.are			Anon		*Dwarven Kingdom			Running
enfan.are			Anon		Ershteep City				Rejected
king.are			Anon		King's Castle				Incoming
zoo2.are			Anon		Midgaard Zoo				Running
eastern.are			Anon		*Sands of Sorrow			Rejected
silver.are			Anon		SilverDale					Rejected
antioch.are			Antioch		The Lawn					Incoming
island.are			Argoesh		Island of Illusion			Rejected
keep.are			Argoesh		Keep						Rejected
gstrong.are			Badaxe		Goblin Stronghold			Incoming
ciquala2.are		Binky		Ciquala's Lair				Rejected
circus.are			Binky		The Circus					Running
amragorne.are		Blade		Amragorne					Incoming
gandahar.are		Blade		Gandahar					Incoming
labyr56.are			Blade		Labyrinth of Kronos			Incoming
lindon.are			Blade		Lindon						Incoming
sol51.are			Blade		Solace						Incoming
Darkness.are		Blizzard	Darkness					Rejected
takshrin.are		Blizzard	Shrine of Tahkien			Incoming
volcano.are			Blizzard	Volcano						Rejected
water.are			Blizzard	Water Nymphs				Rejected
sevens.are			Bolt		Seven Samurai				Incoming
shaolin.are			Boom		Shaolin Temple				Rejected
aswamp.are			Ceran		Arkham Swamps				Rejected
beholder.are		Ceran		Beholder Corps				Running
carnival.are		Ceran		Strange Carnival			Rejected
heaven.are			Chance		Heaven						Rejected
avalonch.are		Chipper		Avalon						Running
camelot1.are		Chipper		Camelot						Running
talonvle.are		Chipper		Gilda & the Dragon			Incoming
mahntor.are			Chris		*The Keep of Mahn-Tor		Running
newthalos.are		Conner		*New Thalos					Running
air.are				Copper		*In the Air					Rejected
chapel.are			Copper		*Chapel Catacombs			Running
midennir.are		Copper		*Miden'nir					Rejected
plains.are			Copper		*Plains of the North		Rejected
erealms.are			Daz			Elven Realms				Rejected
haon.are			Diku		*Haon Dor					Running
midgaard.are		Diku		*Midgaard					Running
redferne.are		Diku		*Redferne's Residence		Rejected
sewer.are			Diku		*Sewer						Running
amity.are			Dimi		Amity						Incoming
pitt.are			Dimi		Sidhonia					Incoming
peeks.are			Dimi		Twin Peeks					Incoming
galaxy.are			Doctor		Galaxy						Running	
hvymetal.are		Draven		Heavy Metal					Incoming
blah.are			Draven		Laka'Rhi'Nata				Incoming
drow.are			Drkside		*Drow City					Rejected
thalos.are			Drkside		*Thalos						Running
dylan.are			Dylan		*Dylan's Area				Rejected
mall.are			Ebola		The Midgaard Mall			Running
steab.are			Eirin		Steab						Incoming
weaverei.are		Eirin		The DreamWeaver's Path		Incoming
chess2.are			Exxon		Chessboard of Midgaard		Running
